ini_immune,f_mutant_beta,n_test,seq_prop,seq_mode,prob_not_detected,expected_day_1,sd_expected_day,prob95_day_1,max_diff,gmean_err,prop_days_w_mea,prop_days_abv20_absdiff
10,1.2,27,10,5,0.0,23.9,9.73399973036525,33,36.16481806332243,2.987331830027763,13.33333333333333,18.516666666666666
10,1.2,27,15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,15,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,15,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,15,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,15,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,15,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,20,0,0.0,17.688,8.164760824379323,26,28.9055257161784,2.4610261825176707,13.33333333333333,13.183333333333334
10,1.2,27,20,1,0.0,45.17,10.136560059993226,46,46.44950686162408,2.556390226370064,12.676666666666664,17.66340909090909
10,1.2,27,20,2,0.0,35.882,10.998774888552317,46,34.76899454372649,2.553344465865977,13.313333333333333,13.957575757575757
10,1.2,27,20,3,0.0,29.361,10.374985268390471,39,31.09434762169572,2.5652145974813667,13.33222222222222,13.17651515151515
10,1.2,27,20,4,0.0,22.865,9.358865495526867,33,29.335507212934743,2.557101387098398,13.33333333333333,12.908333333333333
10,1.2,27,20,5,0.0,18.236,8.346974061058054,26,36.32198885626244,2.8374390649724583,13.33333333333333,18.449999999999996
10,1.2,27,25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,25,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,25,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,25,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,25,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,25,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,30,0,0.0,14.813,7.538226307020495,21,28.62774030873539,2.474975017136385,13.33333333333333,12.799999999999997
10,1.2,27,30,1,0.0,45.014,10.718334137667416,48,45.699855176291216,2.4949926904182442,12.707777777777777,17.35462121212121
10,1.2,27,30,2,0.0,35.903,11.019756169082237,46,35.190640932882076,2.489440740263568,13.313333333333333,14.037878787878789
10,1.2,27,30,3,0.0,28.42,10.493794343311658,38,31.04455619999819,2.561907189028679,13.33222222222222,13.034090909090908
10,1.2,27,30,4,0.0,22.49,9.612819893574743,33,29.722620184551147,2.5706281048856625,13.33333333333333,13.066666666666668
10,1.2,27,30,5,0.0,16.02,7.425681163417989,23,36.25578923113025,2.8753891001338787,13.33333333333333,18.575
10,1.2,27,35,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,35,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,35,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,35,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,35,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,35,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,40,0,0.0,12.961,6.915873647508918,19,28.743484999894655,2.351491835118968,13.33333333333333,12.608333333333333
10,1.2,27,40,1,0.0,44.898,10.521896516612692,48,45.73483741215231,2.5173677544346176,12.671111111111111,17.556212121212123
10,1.2,27,40,2,0.0,36.338,11.241268706072377,45,34.77365697507885,2.4906282299609757,13.314444444444446,13.502272727272723
10,1.2,27,40,3,0.0,29.238,10.54108488109599,40,31.274076036122665,2.591382897877549,13.33333333333333,12.775
10,1.2,27,40,4,0.0,23.001,9.689627850845868,33,29.358927200523198,2.602155020297102,13.33333333333333,13.05833333333333
10,1.2,27,40,5,0.0,15.416,6.599886552244857,20,37.56199366521179,2.8873893285764334,13.33333333333333,19.675
10,1.2,27,45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,45,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,45,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,45,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,45,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,45,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,50,0,0.0,11.582,6.629421183272731,19,28.674563505482187,2.3336609390625327,13.33333333333333,12.666666666666664
10,1.2,27,50,1,0.0,44.774,10.498816559457982,48,45.73530233426645,2.506905101890595,12.693333333333335,17.368080808080805
10,1.2,27,50,2,0.0,36.505,10.971342002934069,44,35.13753345021278,2.5185768329865414,13.307777777777776,13.682121212121212
10,1.2,27,50,3,0.0,28.674,10.489888548586288,38,30.60212234717032,2.5819403936954997,13.33333333333333,12.975
10,1.2,27,50,4,0.0,22.55,9.419566244165823,33,29.129102258587768,2.547410138742844,13.33333333333333,12.925
10,1.2,27,50,5,0.0,15.162,6.55092899294983,19,38.868929069668276,2.9237284650459436,13.33333333333333,20.758333333333333
10,1.2,27,55,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,55,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,55,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,55,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,55,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,55,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,60,0,0.0,10.508,6.306005209457228,17,28.6418846489442,2.334119472684,13.33333333333333,12.541666666666664
10,1.2,27,60,1,0.0,44.727,10.953924386239821,47,46.86621517127257,2.565009753058246,12.694444444444445,17.749292929292928
10,1.2,27,60,2,0.0,36.478,10.465803793739353,44,34.85708188580874,2.497440395825897,13.314444444444446,13.643181818181818
10,1.2,27,60,3,0.0,28.479,10.446850994232458,40,31.0010658543084,2.5808344979201436,13.33333333333333,13.016666666666666
10,1.2,27,60,4,0.0,23.327,9.500859820949751,33,29.578084671025334,2.5687909179331627,13.33333333333333,13.03333333333333
10,1.2,27,60,5,0.0,14.2,6.15596425394884,19,40.0834583465886,2.9456397652516038,13.33333333333333,21.499999999999996
10,1.2,27,65,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,65,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,65,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,65,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,65,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,65,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,70,0,0.0,9.865,6.055364765432586,15,28.49028806742947,2.3055707424841976,13.33333333333333,12.716666666666665
10,1.2,27,70,1,0.0,44.253,10.723244797120831,47,46.13900915838741,2.5609306495711164,12.66888888888889,17.895429292929293
10,1.2,27,70,2,0.0,36.138,10.850561768438107,43,35.06955780312771,2.519809346320311,13.309999999999999,14.21742424242424
10,1.2,27,70,3,0.0,28.773,10.713554557253687,39,31.115781104143714,2.5861994993154047,13.33333333333333,13.25
10,1.2,27,70,4,0.0,23.205,9.738676338025451,33,29.315667148544843,2.5715940343154156,13.33333333333333,12.475
10,1.2,27,70,5,0.0,14.02,6.247289702633345,19,40.61908787988417,2.979608615630178,13.33333333333333,22.466666666666665
10,1.2,27,75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,75,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,75,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,75,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,75,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
